"ESTACION_ID","NOMBRE_FGDA","NOMBRE_EST","MSFL_CODE","MED_CONCENTRACION_ESTANDAR","MED_FECHA_INICIO","MED_FECHA_FINAL","LATITUD","LONGITUD","ALTITUD","NOMBRE_UNIDAD","SIGLA_UNIDAD","DURACIÓN","CODIGO_DEPARTAMENTO","DEPARTAMENTO","CODIGO_MUNICIPIO","MUNICIPIO","TIPO_ESTACION"
"8258","CORTOLIMA","CORTOLIMA","PM10","26","2020 Nov 20 12:00:00 AM","2020 Nov 21 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","25.76","2020 Jun 28 12:00:00 AM","2020 Jun 29 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","29.78","2020 Oct 13 12:00:00 AM","2020 Oct 14 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.56","2020 Dec 10 12:00:00 AM","2020 Dec 11 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","21.37","2020 Apr 18 12:00:00 AM","2020 Apr 19 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","34.93","2020 May 19 12:00:00 AM","2020 May 20 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","30.43","2020 Dec 24 12:00:00 AM","2020 Dec 25 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","18.19","2020 May 04 12:00:00 AM","2020 May 05 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","41.05","2020 Jan 08 12:00:00 AM","2020 Jan 09 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","25.37","2020 Jan 05 12:00:00 AM","2020 Jan 06 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","26.45","2020 Jun 21 12:00:00 AM","2020 Jun 22 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","34.06","2020 Sep 03 12:00:00 AM","2020 Sep 04 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","17.61","2020 Apr 15 12:00:00 AM","2020 Apr 16 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
